Size of largest settlement,Number of occupations,UrbanScale,Div,Pop,N
212500,51,5.327358934,1.707570176,6.893697881,7828848
95597,40,4.980444264,1.602059991,6.485171165,3056125
55000,46,4.740362689,1.662757832,6.202451103,1593863
30000,38,4.477121255,1.579783597,5.89245799,780653
30000,36,4.477121255,1.556302501,5.89245799,780653
20000,46,4.301029996,1.662757832,5.685092923,484276
20000,35,4.301029996,1.544068044,5.685092923,484276
18000,26,4.255272505,1.414973348,5.631208902,427769
17242,43,4.236587641,1.633468456,5.609205606,406636
12500,42,4.096910013,1.62324929,5.444721231,278433
12000,47,4.079181246,1.672097858,5.423843835,265365
9250,50,3.966141733,1.698970004,5.290728504,195312
8500,35,3.929418926,1.544068044,5.247483727,176801
2833,25,3.452246575,1.397940009,4.685565566,48480
2120,19,3.326335861,1.278753601,4.53729311,34458
2100,17,3.322219295,1.230448921,4.532445441,34076
2000,22,3.301029996,1.342422681,4.507492923,32173
1950,14,3.290034611,1.146128036,4.494544758,31228
1000,26,3,1.414973348,4.153,14223
804,26,2.905256049,1.414973348,4.041429523,11001
800,17,2.903089987,1.230448921,4.038878769,10937
800,17,2.903089987,1.230448921,4.038878769,10937
800,6,2.903089987,0.7781512504,4.038878769,10937
632,21,2.800717078,1.322219295,3.918324431,8286
530,33,2.72427587,1.51851394,3.828307264,6735
500,26,2.698970004,1.414973348,3.798507077,6288
500,20,2.698970004,1.301029996,3.798507077,6288
500,17,2.698970004,1.230448921,3.798507077,6288
400,5,2.602059991,0.6989700043,3.684385846,4835
344,29,2.536558443,1.462397998,3.607251222,4048
330,11,2.51851394,1.041392685,3.586002016,3855
300,26,2.477121255,1.414973348,3.53725799,3446
300,15,2.477121255,1.176091259,3.53725799,3446
300,15,2.477121255,1.176091259,3.53725799,3446
300,14,2.477121255,1.146128036,3.53725799,3446
300,11,2.477121255,1.041392685,3.53725799,3446
300,8,2.477121255,0.903089987,3.53725799,3446
220,2,2.342422681,0.3010299957,3.378636949,2391
200,14,2.301029996,1.146128036,3.329892923,2137
200,14,2.301029996,1.146128036,3.329892923,2137
200,12,2.301029996,1.079181246,3.329892923,2137
150,12,2.176091259,1.079181246,3.182765067,1523
150,11,2.176091259,1.041392685,3.182765067,1523
150,2,2.176091259,0.3010299957,3.182765067,1523
100,21,2,1.322219295,2.9754,945
100,14,2,1.146128036,2.9754,945
100,6,2,0.7781512504,2.9754,945
100,2,2,0.3010299957,2.9754,945
75,4,1.875061263,0.6020599913,2.828272144,673
67,7,1.826074803,0.84509804,2.770585688,590
60,12,1.77815125,1.079181246,2.714150912,518
60,2,1.77815125,0.3010299957,2.714150912,518
50,23,1.698970004,1.361727836,2.620907077,418
50,15,1.698970004,1.176091259,2.620907077,418
50,11,1.698970004,1.041392685,2.620907077,418
50,8,1.698970004,0.903089987,2.620907077,418
50,7,1.698970004,0.84509804,2.620907077,418
50,6,1.698970004,0.7781512504,2.620907077,418
50,5,1.698970004,0.6989700043,2.620907077,418
50,5,1.698970004,0.6989700043,2.620907077,418
50,4,1.698970004,0.6020599913,2.620907077,418
35,7,1.544068044,0.84509804,2.438494529,274
30,7,1.477121255,0.84509804,2.35965799,229
30,6,1.477121255,0.7781512504,2.35965799,229
30,5,1.477121255,0.6989700043,2.35965799,229
30,4,1.477121255,0.6020599913,2.35965799,229
30,4,1.477121255,0.6020599913,2.35965799,229
30,3,1.477121255,0.4771212547,2.35965799,229
30,3,1.477121255,0.4771212547,2.35965799,229
30,2,1.477121255,0.3010299957,2.35965799,229
30,2,1.477121255,0.3010299957,2.35965799,229
30,2,1.477121255,0.3010299957,2.35965799,229
30,2,1.477121255,0.3010299957,2.35965799,229
30,2,1.477121255,0.3010299957,2.35965799,229
30,1,1.477121255,0,2.35965799,229
30,1,1.477121255,0,2.35965799,229
30,1,1.477121255,0,2.35965799,229
30,1,1.477121255,0,2.35965799,229
30,1,1.477121255,0,2.35965799,229
25,4,1.397940009,0.6020599913,2.266414154,185
25,4,1.397940009,0.6020599913,2.266414154,185
25,2,1.397940009,0.3010299957,2.266414154,185
25,1,1.397940009,0,2.266414154,185
20,4,1.301029996,0.6020599913,2.152292923,142
